,message,label_d,label_r,label_s,label_a,label_og,label_maj
20,"A: Just look at that young person with the short hair and blue jeans. Is it a boy or a girl?B: It's a girl. She's my daughter.A: Oh, I'm sorry, sir. I didn't know that you were her father.😀B: I'm not. I'm her mother.",1,1,1,1,1,1
21,"Friendship, enthusiasm, adventure and crazy mishaps last a lifetime with a shot. Learn to capture the moments you ardently cherish this August. Find the joy of photography at the heart of the image, with Nikon School of Photography.One moment, one shot.#Aaruush17#X1edition#NikonSchoolofPhotography#LifeisbeautifulRegister at : goo.gl/MKHce3Date : Aug 6,2017Time: 9:30 AM - 4 PM",1,1,1,1,1,1
22,"Hi. This is no secret that we, at OMGTens, are trying to build a greater audience, so that the world knows what we are up to. For that, we need your help. Since the Amazon ""Big Diwali Sale"" is starting from tomorrow, we are sure that every one of you would be as equally excited as we are, and not hesitate in buying yourself some great stuff.Our only request is, that while doing so, you visit our website 'www.omgtens.com' first, and then follow the link/ad available to direct you to Amazon. By doing this, you'd not only be buying the product you need, but you'd also get to go through some great articles which we are sure would interest you in great aspect.We further look forward for your support.Regards,Vighnesh and Ayush.",1,1,1,1,1,1
23,"Here's something for people who love great literature, check out our latest article on 10 YOUNG ADULT NOVELS.",1,1,1,1,1,1
24,"If you are having doubts regarding the process, simply visit our site and click on any article and scroll for some seconds and then click on the Amazon ad and continue with your shopping.",1,1,1,1,1,1
25,"Vist this website for exiting offers, plase share this  omgtens.comso that more and more public will now about this.",1,1,1,1,1,1
26,Market me naya Offer Aaya Hai Dekho WEBSITE_URL,1,1,1,1,1,1
27,"Happy news, Our national anthem ""Jana Gana Mana... ""is declared as the ""BEST ANTHEM OF THE WORLD""by UNESCO. Just few minutes ago.Kindly share this.Very proud to be an INDIAN.🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳👏👏👏👏👏👏👏😊😊😊😊😊😊😊🇮🇳🇮🇳🇮🇳🇮🇳🚩🌹🌹🌹✨✨ Meaning of our National Anthem ✨✨💎💎💎💎💎💎💎💎🇮🇳 Please try to understand the meaning and pronounce it clearly.Word by word meaning..🎵Jana            = People🎵Gana            = Group🎵Mana           = Mind🎵Adhinayaka= Leader🎵Jaya He      = Victory🎵Bharata       = India🎵Bhagya       = Destiny🎵Vidhata      = Disposer🎵Punjaba     = Punjab🎵Sindhu       = Indus🎵Gujarata    = Gujarat🎵Maratha    = Marathi Maharashtra🎵Dravida      = South🎵Utkala        = Orissa🎵Banga        = Bengal🎵Vindhya     =Vindhyas🎵Himachal   =Himalay🎵Yamuna     = Yamuna🎵Ganga        = Ganges🎵Uchchhala = Moving🎵Jaladhi      = Ocean🎵Taranga    = Waves🎵Tava          = Your🎵Shubh    =Auspicious🎵Naame = name🎵Jage     = Awaken🎵Tava     = Your🎵Shubha      = Auspicious🎵Aashisha = Blessings🎵Maage     = Ask🎵Gaahe      = Sing🎵Tava        = Your🎵Jaya        = Victory🎵Gatha      = Song🎵Jana       = People🎵Gana      = Group🎵Mangala = Fortune🎵Dayaka   = Giver🎵Jay He    = Victory Be🎵Bharata  = India🎵Bhagya  = Destiny🎵Vidhata = Dispenser🌸Jay He, Jay He, Jay He, Jay Jay Jay Jay He = Victory, Victory, Victory, Victory Forever...jPLEASE SHARE IT AND LET ALL PEOPLE KNOW THE MEANING OF OUR NATIONAL ANTHEM..",1,1,1,1,1,1
28,"Want some whacky caricatures to  kickoff Christmas , and no we won't give it to you printed just hang on the wall but digital for multipurpose use. I know a place and its dope. Ping me for details and introductory offers going on so hurry.P.S - I know most of you already know it's stoned Santa but for those who don't a surprise element for the Christmas vibes.",1,1,1,1,1,1
29,WEBSITE_URL a fresher? Help a fresher.,1,1,1,1,1,1
30,"Mother: ""Did you enjoy your first day at school?""Girl: ""First day? Do you mean I have to go back tomorrow?😀😀",1,1,1,1,1,1
31,"Dear all,Go through 👆🏻mentioned details.Interested students shall register",1,0,1,1,1,1
32,"It's the beginning of a new journey, an era of change and that journey began with Square One.With the selection of a new team, a new chapter has opened up.Sqaure One with fun games, superb events, redbull, Call for Aaruush and Thor was nothing short of magic.With this we wish the team All the very best to take the road not taken.#Aaruush18#SquareOne#CheckItOut#CallForAaruushWEBSITE_URL",1,1,1,1,1,1
33,"If you want to be a part of Gaming Industry and dream of becoming a professional Game developer. Here is a chance for you. Take part in IGS gaming competition and win exciting prizes and internship opportunities with stipends ranging from ₹25,000 to ₹1,00,000 per month for a period of 3months. Top 3 developers will also get 5% of game sales as royalty for a year.Dont miss out on your chance to get your hand on this amazing opportunity.Register now at :WEBSITE_URL",1,1,1,1,1,1
34,"Before we unveil the aftermovie, let us first give you a glimpse of memories through the eyes of the lens. Witness the aftermovie trailer of Aaruush X1 Edition!Subscribe to our channel, press the bell icon and never miss another update from Team Aaruush. Check out our other videos as well! Like, Share and Comment and subscribe.WEBSITE_URL",1,1,1,1,1,1
35,"*Aaruush17 Official Aftermovie*Massive, breathtaking, awesome and lifetime experience are the few words which were put forward to describe the X1 edition of Aaruush.Yet again we rise in the spirit of innovation..The echo from Aaruush Nites, the anxiousness of 55+ events, the aura of innovation are still heard and felt as we move forward.WEBSITE_URL share and subscribe!",1,1,1,1,1,1
36,"Headmaster: I've had complaints about you, Johnny, from all your teachers. What have you been doing?Johnny: Nothing, sir.Headmaster: Exactly. 😀😀",1,1,1,1,1,1
37,Hats off to the initiative by our Prime Minister where people from 125 nations sang the 15th century composition from India ! Watch with pride 🙏,1,1,1,1,1,1
38,"*WEDDING IN RUSSIA*By Sudha Murthy( Wife of Mr Narayan Murthy of Infosys )👇Recently I was in Moscow, Russia.The Day I Went to the Park, it was aSunday.It was Drizzling and Cold, though it was Summer.I was Standing under an Umbrella and Enjoying the Beauty of the Place... when Suddenly, My Eyes Fell on a Young Couple.It Was Apparent that They Had Just Got Married.The Girl was in Her Mid-Twenties, Slim and with Blonde Hair and Sparkling Blue Eyes. She Was Very Beautiful Indeed.The Boy Was almost the Same Age and Very Handsome. He Was in a Military Uniform.The Bride was Wearing a Pretty White Satin Dress, Decorated with Pearls and Pretty Laces.Two Young Bridesmaids were Standing Behind Her Holding up the Hem of the Wedding Gown, so as not to let it get Dirtied.One Young Boy was Holding an Umbrella Over Their Heads, so that They Should Not Get Drenched.The Girl was Holding a Bouquet and the Two Were Standing with Their Arms Linked.It Was a Beautiful Sight. I  Wondered why They Had Come to the Park in This Rain Soon After Getting Married. They Could Surely Have Gone to a Merrier Place.I Watched as They Walked Together to the Raised Platform Near the Memorial, placed the Bouquet, Bowed their Heads in Silence, and Slowly Walked Back.By Now I was  Curious to Know as to What Was Going On...There was an Old Man Standing With Them. He Looked at Me, My Saree, and asked, ‘Are you Indian ?’I replied, ‘Yes, I am an Indian.’And We Began Chatting Amicably. I Decided to use the Opportunity to ask some Questions. - ‘ How Do You Come to Know English ?’ - ‘ Oh, I Worked Abroad.' - ‘ Please Tell Me Why that Young Couple Visited the War Memorial on Their Wedding Day ?’ - ‘ Oh, that is the Custom in Russia. The Wedding takes Place Normally on a Saturday or a Sunday.'Irrespective of the Season, after Signing the Register at the Marriage Office, Married Couples Must visit the Important National Monuments Nearby.'Every Boy in this Country Has to Serve in the Military for a Couple of Years at Least.Regardless of His Position, He Must Wear His Service Uniform for the Wedding.’ ‘Why is That ?’ 'This is a Mark of Gratitude.Our Forefathers Have Given their Lives in Various Wars That Russia Has Fought.Some of Them We Won, and Some We Lost, But Their Sacrifice Was Always for the Country.The Newly Married Couple Needs to Remember That They are Living in a Peaceful, Independent Russia Because of Their Ancestors’ Sacrifices. They Must Ask for Their Blessings.'Love for the Country is More Important Than Wedding Celebrations.We Elders Insist on Continuing with this Tradition Whether it be in Moscow, St. Petersburg or any other Part of Russia.On the Wedding Day They Have to Visit the Nearest War Memorial.’This Set Me Wondering about What We Teach Our Children Here.Do We Indians Have the Courtesy to Remember Our Martyrs on the Most Important Day of our Lives ?We are Busy Shopping for Sarees, Buying Jewellery and Planning & Preparing Elaborate Menus and Partying in Discos etc..My Eyes filled with Tears at the Thought.. and I Wished that We Indians Could Learn a Lesson From the Russians in This Noble Thought and Custom..And We Too Could  Respect Our Martyrs Who Sacrificed Their Lives For Our Nation.. and For Our Today and Tomorrow Too...And From the Heart...!🙏🙏🙏Please Do Share Widely..If You Agree With The Sentiment Expressed... 👆",1,1,1,1,1,1
39,"Found this beauty among the countless 'New Year' forwards. A MUST read on new year :....................................I woke up today, having dreamt early morning at 4 AM. I was in the Mall looking to buy a pair of socks and a neck tie.As I walked in, I noticed a sweater with a price tag of RS 9000. Next to the sweater were a pair of Jeans for Rs.10000. The socks were Rs.8000! And Tie for astonishing 16,000.I went looking for a salesperson and found one in the watch Dept. He was showing a man a Rs. 225 Rolex watch. I looked in the glass case and there was a 4 carat diamond ring also on sales for Rs.95.Shocked I asked the salesperson ""How could a Rolex watch sell for Rs.225 and a cheap pair of socks sell for Rs. 8000""?He said ""Someone slid into the store last night and: changed the price tag on everything. Everyone is confused, people are acting like they have lost their sense of value. They are willing to pay lots of money for things of little value and very little money for things of great value. It's like they don't know what is really valuable and what's not. I hope we get the price tags back-on right soon. I really pity, seeing people paying way too much for things of little value "".I woke up startled & confused and thinking since then ...Maybe our life is like this dream.Maybe someone slid into our lives and: changed the price on everything.Maybe they marked up the value of competition, position, titles, fame, promotion, show-off, money, and power ! And put a huge discount on the value of Happiness, Family, Relationships, Peace of mind, Contentment, Love , Knowledge, Kindness, Friendships.Maybe we are all living this dream...I hope we wake up well in-time! And start our New Year on this fresh note!!",1,1,1,1,1,1
40,"Teacher: ""Nick, what is the past participle of the verb to ring?""Nick: ""What do you think it is, Sir?""Teacher: ""I don't think, I KNOW!""Nick: ""I don't think I know either, Sir!"" 😀",1,1,1,1,1,1
41,"We can be heroes everywhere we goWe can have all that we ever wantSwinging like Ali, knocking out bodiesStanding on top like a championKeep your silver, give me that goldYou'll remember when I sayWe can be heroes everywhere we goKeeping us down is impossibleCause we're unstoppable.Checkout the video and Vote for TEAM UNSTOPPABLES:WEBSITE_URL",1,1,1,1,1,1
42,Day 3National Rank: 2International Rank: 18Thanks alot for the love and support ❤Keep Voting. Every vote counts :)WeCanDoIt (y)Please vote once every 24 hoursShare it among your family and friends circle.BE A PART OF OUR JOURNEY 😇Keep voting for Team UNSTOPPABLESWEBSITE_URL,1,1,1,1,1,1
43,"WEBSITE_URL and get a chance to win a free red bull today at SRM RedBull campaign Feb 19, 2018. (200 Redbulls to be given away by college team)",1,1,1,1,1,1
44,Global rank: 07Indian rank: 01Let's make the Unstoppable journey win this competition.WEBSITE_URL DAY OF VOTING. LETS MAKE IT TO GLOBAL RANK 1,1,1,1,1,1,1
45,"A: Why are you crying?B: The elephant is dead.A: Was he your pet?B: No, but I'm the one who must dig his grave.😀",1,1,1,1,1,1
46,"A teenage girl had been talking on the phone for about half an hour, and then she hung up.""Wow!,"" said her father, ""That was short. You usually talk for two hours. What happened?""""Wrong number,"" replied the girl.😀😀",1,1,1,1,1,1
47,WEBSITE_URL      *JANNAT 2*    *Hindi Song**Singer/Lyrics/Director : Kumar Sanoj**Artist :  Sonu Singh & Miss Sonu Paswan**Camera/Drone : Raju Ranjan**Editing : Chitranjan Goswami*,1,1,1,1,1,1
48,"🌅😀🙏 Suprabhatam 🌹Don't get too emotional in life that it hurts you... & ...don't get too practical in life that it hurt others...🌹People will always tell you what you did wrong, but will hesitate to compliment you for what you did right.🌹Don't worry about what others think. People are always negative, don't let it bother you. Stay strong. Move on.🌹🌹Good Morning 🌹& Make It A Great Day Ahead Full Of Joy & Happiness.🌅😀🙏🌹",1,1,1,1,1,1
49,Hi! Internshala is offering Online Winter Training on 15+ certified industry skills. Use code ISP8432RAN to avail 55% + 10% discount on all training programs. Visit: WEBSITE_URL,1,1,1,1,1,1
50,"Hey guys, tried my hand at videography. Do have a look and like, comment and share your valuable feedbacks. Cheers.WEBSITE_URL",1,1,1,1,1,1
51,Guys pls like this page and ask ur friends too,1,1,1,1,1,1
52,Hi checkout my next blog on the link belowWEBSITE_URL,1,1,1,1,1,1
53,"❤💐❤💐❤💐❤💐❤💐❤Like the vibrant hues of Holi,May your lives be colourful, too.I wish the happiest Holi,To each one of you.May truth be triumphant over evil,And good defeat the bad;And every  moment of this Spring,Be ever so glad.😘👍😘❤💐❤💐❤💐❤💐❤💐",1,1,1,1,1,1
54,Hey guys check out my next blog...WEBSITE_URL,1,1,1,1,1,1
55,Hey guys check out my next blog... Situation of an engineering guyWEBSITE_URL,1,1,1,1,1,1
56,Hey guys check my next blog..WEBSITE_URL,1,1,1,1,1,1
57,WEBSITE_URL guysMy parents just shifted to a new flatWe just bought a LG refrigerator. After the delivery the installation was doneBut it is not workingFrom the past month we have been calling LG and making complaints ... Everytime they are giving excuses .. we asked them for refund they are not replying to that eitherPlease like and share this post and ask others tooIt would be of great helpThank you,1,1,1,1,1,1
58,E&T Revised Schedule is out!WEBSITE_URL to book your tickets! 🤗#SRMbyAGwww.srmbyag.cominstagram.com/srmbyag,1,1,1,1,1,1
59,We are aware that our website srmbyag.com 's resource limit has been exceeded. We're trying to fix it.You can anyway open it in our Facebook Page ( fb.com/srmbyag.ag ) in *Facebook App*.WEBSITE_URL,1,1,1,1,1,1
60,WEBSITE_URL requires immediate publicity! Share!200+ ch's in this group.I will see the results at 10:00 AM,1,1,1,1,1,1
61,(New)Touch this blue line & see magic👉 my-magic.in/diwali/?n=SAURABH-PANDEY-(chennai)-,1,1,1,1,1,1
62,I just got some awesome RGB gaming headphones at just $30,1,1,1,1,1,1
63,"If you really want to know about Colonel Sanders, here:WEBSITE_URL🎥 KFC Once Sued Colonel Sanders... and Lost - YouTube",1,1,1,1,1,1
64,At least the more interesting parts of his career.,1,1,1,1,1,1
65,"Initiative Q is an attempt by ex-PayPal guys to create a new payment system instead of credit cards that were designed in the 1950s. The system uses its own currency, the Q, and to get people to start using the system once it's ready they are allocating Qs for free to people that sign up now (the amount drops as more people join - so better to join early). Signing up is free and they only ask for your name and an email address. There's nothing to lose but if this payment system becomes a world leading payment method your Qs can be worth a lot. If you missed getting bitcoin seven years ago, you wouldn't want to miss this.Here is my invite link: WEBSITE_URL This link will stop working once I’m out of invites. Let me know after you registered, because I need to verify you on my end.",1,1,1,1,1,1
66,"Bored and broke? The everyday life is killing you out of boredom ? Aaruush presents a whole new concept of a Tech Fair. As soon as we hear the word 'Fair', fond memories of childhood flood us with friends, food and enjoyment all around us.So what's new this time?  Here's a clue.Ever wondered what  just participating in an event could get you? Bring your college mates along and get a chance to learn, enjoy and win at the same time! We have exciting games and events lined up for you. Play on, keep the winning streak and become a king!! What are you waiting for? Hop in and witness the most unique fair at the Aaruush Circle on 24th of August, 2018!#Aaruush18 #TechFair #EdgiestFairInTown #FYM",1,1,1,1,1,1
67,"I'm giving you a free ride on the Uber app (up to ₹25). To accept, use code 'ayushg7661ui' to sign up. Enjoy! Details: WEBSITE_URL",1,1,1,1,1,1
68,Here's Rs.100 to play Fantasy Cricket with me on Dream11. Click WEBSITE_URL to download the Dream11 app & use my code VIKRA10448NO to register.,1,1,1,1,1,1
69,"Hi, I am your Mayfair fashion  assistant.Thank you for showing interest in Mayfair.deals.We hope that you will like our products  and offers.We would like to add you to our WhatsApp Group, where we will be regularly running exclusive offers for our Mayfair customers in that group.Please feel free to withdraw yourself from the group or add as many friends as you may want to share the joy and  exciting deals.Don't forget to grab a FREE PRODUCT once you are in our group.Yes, you read that right. A FREE GIFT in your cart.Let's get the most out of these deals and offers this new year.Don't miss the deal on our website that's Mayfair.deals.",1,1,1,1,1,1
70,New ARRIVED.❤❤💛💛✳BRAND = *SUPERDRY**SUPERDRY JEANS* .😀 💛IMPORTED.🎗FIT SKINNY❤3 COLOUR.SIZE↗28 30 32 34 .AVAILABLE.✌FABRIC IMP DENIM STRETCHABLE.💚SAME AVAILABLE IN SHOWROOM.✌ SUPER PREMIUM QUALITY.PRICE-1399Rs.SHIPPING FREE❤Full stock ARRIVED.❤Double quantity .,1,1,1,1,1,1
71,*_NEW COLLECTION ARRIVED FOR SUMMER 2018 STORE ARTICLE _*❤❤💛💛BRAND :- *SUPERDRY* IMPORTED.*STYLE::- HALF SLEEVE POLO T SHIRT*❤ 6 COLOUR.*SIZE :- M 38. L 40  XL 42   XXL 44*FABRIC:- 100 PERCENT COTTON DOUBLE TUCK AIRTEX FABRIC WITH BIO WASHING SUPER PREMIUM QUALITY.*_WITH MRP TAG OF INR 1899_*👉🏻PRICE-750Rs. ONLY*FREE SHIPPING**_READY TO DISPATCH FROM TOMORROW_*,1,1,1,1,1,1
72,*SPECIAL RATE DOWN 😍**DON’t MISS IT*Jordan retro 4 pure money❤😍❤Size-41-45 EuroPrice-3100Rs.Shipping Free,1,1,1,1,1,1
73,👔 CALVIN KLEIN  👔👔       SIZE :: M TO XXL          👔👔       FABRIC COTTON.         👔🔴PRICE :699/- WITH SHIPING 🔴,1,1,1,1,1,1
74,"NIKE JORDON 1 (RETRO)7A BOX PACKSIZE-7,8,9,10COLOUR-2PRICE-2999Rs.Shipping Free",1,1,1,1,1,1
75,"*ARROW*Shirts For HimFull SleevesShirt Slim FitSize-M-38, L-40, XL-42Cotton StuffPrice-699Rs.Shipping Free",1,1,1,1,1,1
76,*BRANDED STALLS*LvGucciBurberryPremium quality*Price: 799 only*  Shipping FreeReady stock,1,1,1,1,1,1
77,*MONT BLANC*.                              Sling Wallet Combo @1200Rs./- free shiping,1,1,1,1,1,1
78,Biggest sale on adidas y3Size-41-45 EuroPrice-1999Rs.Shipping Free,1,1,1,1,1,1
79,"*C. K TRACK PANTS*👍🏾SUPER PREMIUM QUALITY.NEW ARRIVED❤❤❤❤Same available in *SHOWROOM*👉FIT :, SKINNY▶BRAND:-*CALVIN KLEIN*♦PRICE:-900Rs. SHIPPING FREE👉FABRIC:- 380GSM IMPORTED COTTON .▶SIZES:- 30m  32L 34xl   36xxl .👔FIT :- SLIM FIT AVAILABLE💥COLOURS : 5👉ORIGINAL WASH CARE..👌👌❤FULL GURANTEE FOR THE FABRIC & STITCHINGFULL STOCK.DOUBLE QUANTITY👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻❤❤❤❤",1,1,1,1,1,1
80,*Lv Supreme Duffle*Quality-10ASize 18 by 11 approx*Price: 1600 only*   Shipping Free,1,1,1,1,1,1
81,Nike free Rn#most comfrtble shoes for running❤😍Size-41-45 EuroPrice-2450Rs.Shipping Free,1,1,1,1,1,1
82,👔          HOLLISTER SHIRTS.              👔👔       SIZE :: M TO XXL          👔👔       FABRIC COTTON.         👔🔴PRICE :750Rs.🔴 WITH SHIPPING🔴NEW CHECKS SHIRTS....,1,1,1,1,1,1
83,Jordan 1 in stock#next to og qualitySize-41-45 EuroPrice-2599Rs.Shipping Free,1,1,1,1,1,1
84,"ELEAF ISTICK PICO 😍🤤Device Watts-75WattBattery-3000mahSmooth Smoke CloudMaking-OriginalDurable BatteryPackage Includes-Battery,Cable,Sample Flavour Filled Tank,Extra Coil,Extra VicarsPrice-2300Rs.Shipping Free",1,1,1,1,1,1
85,*Flip Flops* 😍Sizes Available 7-8-9-10*Price @650/- free Shipping*,1,1,1,1,1,1
86,Reebok SneakersSize-41 To 45 EuroPrice-1499Rs.Shipping Free,1,1,1,1,1,1
87,*Handmade suede leather loafers for him*Ready to dispatch@1599Rs.shipping Free(top quality)Size-6-10 No.Grab asap👍🏼👍🏼,1,1,1,1,1,1
88,New ARRIVED NEW COLOURS.❤❤💛💛*BRAND:- U.S POLO* *_HALF SLEEVES T SHIRTS_* *FABRIC:- IMPORTED**WASH :- BIO*❤ 7  COLOUR.SIZE↗      S     M      LCHART:-    36    38    40AVAILABLE.FABRIC IMP COTTON. SUPER PREMIUM QUALITY.PRICE-600Rs.ONLY*FREE SHIPPING*👇👇👇👇*READY TO DISPATCH**NO NEED TO CHECK AVAILABILITY*,1,1,1,1,1,1
89,Vans SnakeFor HIMSize-41 To 45 EuroPrice-1399Rs.Shipping Free,1,1,1,1,1,1
90,Nike And PumaFlip Flops ₹650/- Including Shipping,1,1,1,1,1,1
91,"*COD AVAILABLE 😍*✅ *The Budget Digital Fossil* ✅🌟 New Fossil Digital Available & Ready to Ship today with *Free Fossil Original Box* 🌟# Fossil# For Men# Original Model# Square Case - 42mm# Features-Digital Screen, Time, Day, Date, Alarm, Stop watch, LED Light features & black super soft leather and smart fitting strap & High quality quartz digital machinery✨ New model with updated price & *Free Fossil Original Box* ✨Available @ Rs 1750Rs.",1,1,1,1,1,1
92,Brand-Puma SuedeCustom Stock 😍Limited StockFor HIMSize Available-41 To 45 EuroPrice-2550Rs.Shipping Free,1,1,1,1,1,1
93,Keep Following New Page Guys. Old One Disabled 👏🏻,1,1,1,1,1,1
94,Please Support & Share With Your Know Persons For Gaining Me Startup Fast. Will Be Kind Of You 🙌🏻,1,1,1,1,1,1
95,*_NEW COLLECTION OF TRACK SUIT  IN THE STORE_*.❤❤💛💛*BRAND:-  ADIDAS**_STYLE:- MENS TRACK SUIT_*❤ 2 COLOUR.*SIZE↗    M  38  L  40 XL  42   XXL 44**FABRIC :- IMPORTED DOBBY DRY FIT WITH NET INSIDEPRICE  1599 ONLY*FREE SHIPPING*👉 *_ORIGINAL TAG ND TRIMS_*👉 *_FULLY GUARANTE OF SHOWROOM QUALITY_*❤IMPORTED NOTE:- *_GOODS WILL BE TAKEN BACK IF ANYONE FINDS QUALITY NOT UPTO MARKS_*👇👇👇👇*READY TO DISPATCH*,1,1,1,1,1,1
96,*JBL CHARGE 3 😍*Silver ColorLimited Color Stock*Price-1499Rs.**Shipping Free*,1,1,1,1,1,1
97,*COD AVAILABLE 😍**Nike Airmax 270*Size 41-45 Euro*2300 free ship*💕,1,1,1,1,1,1
98,*COD AVAILABLE 😍**VANS OLD SKOOL YOUTH*Size-41 To 45 Euro*PRICE-1299Rs.**SHIPPING FREE*,1,1,1,1,1,1
99,*Thread & Scissors**Hand Made With Love**Premium Quality T-Shirts**Cotton Lycra**Soft Feel**Fast Colour*Colour *3*Size *M38 L40 XL42*Price *800Rs.*Shipping Free,1,1,1,1,1,1
100,*COD AVAILABLE 😍**NIKE WXP 14*Size: 7 to 10 (41 to 45)*Price: 2499 only**SHIPPING FREE*,1,1,1,1,1,1
101,* COD AVAILABLE 😍**Gucci Dragon Sneakers*Size-41-44 Euro*Price-1499Rs.** Ship Free **With Og Box*,1,1,1,1,1,1
102,"BRAND : ARROWFABRIC: COTTONSIZE : M ,L,XL*PRICE: 750/- **FREE SHIPPING ALL OVER 🇮🇳 *",1,1,1,1,1,1
103,*HANDMADE SUEDE LEATHER 😍**Gucci Loafers*Size-41 To 44 Euro*Price-1600Rs**Shipping Free**With Brand Box*,1,1,1,1,1,1
104,Nike Vapourmaxplus Aqua ❤😍#most demanding colour in stock7a copySize-41-45 with og boxPrice-2800Rs.Shipping Free,1,1,1,1,1,1
105,*UNDER ARMOUR*Dri-fit lowerSurplus store  article100% ORIGNALWith 3 month garanteeSizes M L XL XXLColor- Blue and Black850/- free,1,1,1,1,1,1
106,"💛 *Weekend Special Offer* 💛✅ The brand known for its Classic & Elegant designs - Emporio Armani ✅ 🌟 Emporio Armani Classic Formal Model Available & Ready to ship today with 🌟# Emporio Armani# For Her# 7A# Model- Classics# Features-Working, chronograph, 24 hour country time, date chronograph, High End quality sapphire glass, top quality stainless steel - rose gold metal chain with clear white dial & battery operated machinery✨ New Model with price updated & *Free Emporio Armani Original Box & booklet manual as shown* ✨Available @ Rs 1999/- Free Shipping",1,1,1,1,1,1
107,Loot Lo Offer 🤗🤗      *ADIDAS*      *SUPREME*SIZES -  *mentioned on every picture**PRICE -  450Rs. FREE SHIP*😍😍,1,1,1,1,1,1
108,*Gucci Loved Sneaker ❤😍*With Orignal Gucci BoxSize Available-41-44 Euro*Price-1299Rs.**Shipping Free*,1,1,1,1,1,1
109,"* ✅ COD AVAILABLE ✅*✅ *The Luxurious, Automatic Fossil Redefined now with metal belt* ✅🌟 New Fossil Automatic Available & Ready to Ship today with *Free Fossil Original box* 🌟# Fossil# For Men# Original Model# Mid Case - 45mm# Features-Automatic Working machinery & stainless steel matte finish chain & High quality fully automatic machinery with rotating Tourbillon spring movement✨ New model with updated price & Free *Fossil Original Box booklet manual & carry bag* ✨Available @ Rs 2299/- Free Ship",1,1,1,1,1,1
110,COD AVAILABLE 😍Brand-Super GlamorousProduct-LoafersFor HIMSuper Premium QualitySize Available-6 To 11 No.Price-1499Rs.Shipping Free,1,1,1,1,1,1
